#SequenceID	AAtype	Start	Stop	Score
>YFR038W IRC5 SGDID:S000001934, Chr VI from 229380-231941, Genome Release 64-2-1, Verified ORF, "Putative ATPase containing the DEAD/H helicase-related sequence motif; null mutant displays increased levels of spontaneous Rad52p foci"	K	101	197	46
>YFR039C OSW7 SGDID:S000001935, Chr VI from 233544-232012, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein involved in outer spore wall assembly; likely involved directly in dityrosine layer assembly; may be involved in response to high salt and changes in carbon source; deletion mutant has decreased spore survival in Drosophila feces; OSW7 has a paralog, SHE10, that arose from the whole genome duplication; deletion of both OSW7 and SHE10 results in reduced dityrosine fluorescence from the spore wall relative to other mutants"	D	168	211	88
>YFR039C OSW7 SGDID:S000001935, Chr VI from 233544-232012, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein involved in outer spore wall assembly; likely involved directly in dityrosine layer assembly; may be involved in response to high salt and changes in carbon source; deletion mutant has decreased spore survival in Drosophila feces; OSW7 has a paralog, SHE10, that arose from the whole genome duplication; deletion of both OSW7 and SHE10 results in reduced dityrosine fluorescence from the spore wall relative to other mutants"	E	168	205	52
>YFR040W SAP155 SGDID:S000001936, Chr VI from 234242-237250, Genome Release 64-2-1, Verified ORF, "Protein required for function of the Sit4p protein phosphatase; forms a complex with Sit4p; member of a family of similar proteins including Sap4p, Sap185p, and Sap190p; protein abundance increases in response to DNA replication stress; SAP155 has a paralog, SAP4, that arose from the whole genome duplication"	N	856	1002	167
>YFR040W SAP155 SGDID:S000001936, Chr VI from 234242-237250, Genome Release 64-2-1, Verified ORF, "Protein required for function of the Sit4p protein phosphatase; forms a complex with Sit4p; member of a family of similar proteins including Sap4p, Sap185p, and Sap190p; protein abundance increases in response to DNA replication stress; SAP155 has a paralog, SAP4, that arose from the whole genome duplication"	D	210	276	88
>YFR040W SAP155 SGDID:S000001936, Chr VI from 234242-237250, Genome Release 64-2-1, Verified ORF, "Protein required for function of the Sit4p protein phosphatase; forms a complex with Sit4p; member of a family of similar proteins including Sap4p, Sap185p, and Sap190p; protein abundance increases in response to DNA replication stress; SAP155 has a paralog, SAP4, that arose from the whole genome duplication"	E	48	122	62
>YFR040W SAP155 SGDID:S000001936, Chr VI from 234242-237250, Genome Release 64-2-1, Verified ORF, "Protein required for function of the Sit4p protein phosphatase; forms a complex with Sit4p; member of a family of similar proteins including Sap4p, Sap185p, and Sap190p; protein abundance increases in response to DNA replication stress; SAP155 has a paralog, SAP4, that arose from the whole genome duplication"	D	620	652	60
>YFR040W SAP155 SGDID:S000001936, Chr VI from 234242-237250, Genome Release 64-2-1, Verified ORF, "Protein required for function of the Sit4p protein phosphatase; forms a complex with Sit4p; member of a family of similar proteins including Sap4p, Sap185p, and Sap190p; protein abundance increases in response to DNA replication stress; SAP155 has a paralog, SAP4, that arose from the whole genome duplication"	N	240	264	44
>YFR040W SAP155 SGDID:S000001936, Chr VI from 234242-237250, Genome Release 64-2-1, Verified ORF, "Protein required for function of the Sit4p protein phosphatase; forms a complex with Sit4p; member of a family of similar proteins including Sap4p, Sap185p, and Sap190p; protein abundance increases in response to DNA replication stress; SAP155 has a paralog, SAP4, that arose from the whole genome duplication"	S	97	140	44
>YFR041C ERJ5 SGDID:S000001937, Chr VI from 238255-237368, Genome Release 64-2-1, reverse complement, Verified ORF, "Type I membrane protein with a J domain; required to preserve the folding capacity of the endoplasmic reticulum; loss of the non-essential ERJ5 gene leads to a constitutively induced unfolded protein response"	K	257	295	42
>YFR046C CNN1 SGDID:S000001942, Chr VI from 244159-243074, Genome Release 64-2-1, reverse complement, Verified ORF, "Kinetochore protein; associated with the essential kinetochore proteins Nnf1p and Spc24p; phosphorylated by Clb5-Cdk1, Mps1p, Ipl1p and to a lesser extent by Clb2-Cdk1; localizes to the lower region of the Ndc80 complex during anaphase and regulates KMN activity by inhibiting the Mtw1 and Spc105 complexes from binding to the Ndc80 complex; similar to metazoan CENP-T"	E	215	252	55
>YFR048W RMD8 SGDID:S000001944, Chr VI from 246146-248134, Genome Release 64-2-1, Verified ORF, "Cytosolic protein required for sporulation"	N	283	424	65
>YFR048W RMD8 SGDID:S000001944, Chr VI from 246146-248134, Genome Release 64-2-1, Verified ORF, "Cytosolic protein required for sporulation"	S	2	140	55
>YFR051C RET2 SGDID:S000001947, Chr VI from 251803-250163, Genome Release 64-2-1, reverse complement, Verified ORF, "Delta subunit of the coatomer complex (COPI); COPI coats Golgi-derived transport vesicles; involved in retrograde transport between Golgi and ER"	A	211	277	58
>YFR051C RET2 SGDID:S000001947, Chr VI from 251803-250163, Genome Release 64-2-1, reverse complement, Verified ORF, "Delta subunit of the coatomer complex (COPI); COPI coats Golgi-derived transport vesicles; involved in retrograde transport between Golgi and ER"	E	139	177	48
>YGL003C CDH1 SGDID:S000002971, Chr VII from 494174-492474, Genome Release 64-2-1, reverse complement, Verified ORF, "Activator of anaphase-promoting complex/cyclosome (APC/C); cell-cycle regulated; directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including Cdc20p, Ase1p, Cin8p and Fin1p"	S	2	227	75
>YGL008C PMA1 SGDID:S000002976, Chr VII from 482666-479910, Genome Release 64-2-1, reverse complement, Verified ORF, "Plasma membrane P2-type H+-ATPase; pumps protons out of cell; major regulator of cytoplasmic pH and plasma membrane potential; long-lived protein asymmetrically distributed at plasma membrane between mother cells and buds; accumulates at high levels in mother cells during aging, buds emerge with very low levels of Pma1p, newborn cells have low levels of Pma1p; Hsp30p plays a role in Pma1p regulation; interactions with Std1p appear to propagate [GAR+]"	S	2	72	58
>YGL008C PMA1 SGDID:S000002976, Chr VII from 482666-479910, Genome Release 64-2-1, reverse complement, Verified ORF, "Plasma membrane P2-type H+-ATPase; pumps protons out of cell; major regulator of cytoplasmic pH and plasma membrane potential; long-lived protein asymmetrically distributed at plasma membrane between mother cells and buds; accumulates at high levels in mother cells during aging, buds emerge with very low levels of Pma1p, newborn cells have low levels of Pma1p; Hsp30p plays a role in Pma1p regulation; interactions with Std1p appear to propagate [GAR+]"	D	31	64	47
>YGL009C LEU1 SGDID:S000002977, Chr VII from 478652-476313, Genome Release 64-2-1, reverse complement, Verified ORF, "Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway"	E	477	528	46
>YGL010W MPO1 SGDID:S000002978, Chr VII from 475545-476069, Genome Release 64-2-1, Verified ORF, "Protein involved in metabolism of phytosphingosine; not an essential gene"	L	52	89	41
>YGL012W ERG4 SGDID:S000002980, Chr VII from 472855-474276, Genome Release 64-2-1, Verified ORF, "C-24(28) sterol reductase; catalyzes the final step in ergosterol biosynthesis; mutants are viable, but lack ergosterol"	Y	308	346	45
>YGL013C PDR1 SGDID:S000002981, Chr VII from 472298-469092, Genome Release 64-2-1, reverse complement, Verified ORF, "Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog, PDR3, that arose from the whole genome duplication"	N	975	1052	130
>YGL013C PDR1 SGDID:S000002981, Chr VII from 472298-469092, Genome Release 64-2-1, reverse complement, Verified ORF, "Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog, PDR3, that arose from the whole genome duplication"	S	13	195	53
>YGL014W PUF4 SGDID:S000002982, Chr VII from 466141-468807, Genome Release 64-2-1, Verified ORF, "Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors"	N	468	543	197
>YGL014W PUF4 SGDID:S000002982, Chr VII from 466141-468807, Genome Release 64-2-1, Verified ORF, "Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors"	S	105	307	71
>YGL014W PUF4 SGDID:S000002982, Chr VII from 466141-468807, Genome Release 64-2-1, Verified ORF, "Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors"	P	432	456	49
>YGL018C JAC1 SGDID:S000002986, Chr VII from 459664-459110, Genome Release 64-2-1, reverse complement, Verified ORF, "Specialized J-protein that functions in Fe-S cluster biogenesis; functions with Hsp70 in Fe-S cluster biogenesis in mitochondria; involved in iron metabolism; contains a J domain typical to J-type chaperones; localizes to the mitochondrial matrix"	Q	32	144	42
>YGL019W CKB1 SGDID:S000002987, Chr VII from 458156-458992, Genome Release 64-2-1, Verified ORF, "Beta regulatory subunit of casein kinase 2 (CK2); a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerases"	E	74	125	57
>YGL021W ALK1 SGDID:S000002989, Chr VII from 454785-457067, Genome Release 64-2-1, Verified ORF, "Protein kinase; along with its paralog, ALK2, required for proper spindle positioning and nuclear segregation following mitotic arrest, proper organization of cell polarity factors in mitosis, proper localization of formins and polarity factors, and survival in cells that activate spindle assembly checkpoint; phosphorylated in response to DNA damage; ALK1 has a paralog, ALK2, that arose from the whole genome duplication; similar to mammalian haspins"	S	47	449	241
>YGL023C PIB2 SGDID:S000002991, Chr VII from 452104-450197, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein of unknown function; contains FYVE domain; similar to Fab1 and Vps27"	S	41	439	159
>YGL023C PIB2 SGDID:S000002991, Chr VII from 452104-450197, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein of unknown function; contains FYVE domain; similar to Fab1 and Vps27"	N	527	617	67
>YGL025C PGD1 SGDID:S000002993, Chr VII from 449957-448764, Genome Release 64-2-1, reverse complement, Verified ORF, "Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor"	N	292	386	91
>YGL025C PGD1 SGDID:S000002993, Chr VII from 449957-448764, Genome Release 64-2-1, reverse complement, Verified ORF, "Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor"	S	123	326	73
>YGL025C PGD1 SGDID:S000002993, Chr VII from 449957-448764, Genome Release 64-2-1, reverse complement, Verified ORF, "Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor"	Q	347	362	68
>YGL025C PGD1 SGDID:S000002993, Chr VII from 449957-448764, Genome Release 64-2-1, reverse complement, Verified ORF, "Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor"	Q	211	244	40
>YGL028C SCW11 SGDID:S000002996, Chr VII from 442909-441281, Genome Release 64-2-1, reverse complement, Verified ORF, "Cell wall protein with similarity to glucanases; may play a role in conjugation during mating based on its regulation by Ste12p"	S	93	456	302
>YGL028C SCW11 SGDID:S000002996, Chr VII from 442909-441281, Genome Release 64-2-1, reverse complement, Verified ORF, "Cell wall protein with similarity to glucanases; may play a role in conjugation during mating based on its regulation by Ste12p"	T	15	266	138
>YGL029W CGR1 SGDID:S000002997, Chr VII from 440063-440425, Genome Release 64-2-1, Verified ORF, "Protein involved in nucleolar integrity and processing of pre-rRNA; has a role in processing rRNA for the 60S ribosome subunit; transcript is induced in response to cytotoxic stress but not genotoxic stress; relocalizes from nucleus to nucleolus upon DNA replication stress"	K	7	120	117
>YGL031C RPL24A SGDID:S000002999, Chr VII from 437934-437467, Genome Release 64-2-1, reverse complement, Verified ORF, "Ribosomal 60S subunit protein L24A; not essential for translation but may be required for normal translation rate; homologous to mammalian ribosomal protein L24, no bacterial homolog; RPL24A has a paralog, RPL24B, that arose from the whole genome duplication"	K	32	149	94
>YGL035C MIG1 SGDID:S000003003, Chr VII from 433062-431548, Genome Release 64-2-1, reverse complement, Verified ORF, "Transcription factor involved in glucose repression; sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kinase and the GLC7 phosphatase; regulates filamentous growth along with Mig2p in response to glucose depletion; activated in stochastic pulses of nuclear localization, shuttling between cytosol and nucleus depending on external glucose levels and its phosphorylation state"	S	107	483	142
>YGL035C MIG1 SGDID:S000003003, Chr VII from 433062-431548, Genome Release 64-2-1, reverse complement, Verified ORF, "Transcription factor involved in glucose repression; sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kinase and the GLC7 phosphatase; regulates filamentous growth along with Mig2p in response to glucose depletion; activated in stochastic pulses of nuclear localization, shuttling between cytosol and nucleus depending on external glucose levels and its phosphorylation state"	Q	407	446	59
>YGL036W YGL036W SGDID:S000003004, Chr VII from 428601-431330, Genome Release 64-2-1, Uncharacterized ORF, "Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YGL036W is not an essential gene"	S	700	898	129
>YGL036W YGL036W SGDID:S000003004, Chr VII from 428601-431330, Genome Release 64-2-1, Uncharacterized ORF, "Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YGL036W is not an essential gene"	N	367	422	118
>YGL036W YGL036W SGDID:S000003004, Chr VII from 428601-431330, Genome Release 64-2-1, Uncharacterized ORF, "Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YGL036W is not an essential gene"	T	811	837	51
>YGL036W YGL036W SGDID:S000003004, Chr VII from 428601-431330, Genome Release 64-2-1, Uncharacterized ORF, "Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YGL036W is not an essential gene"	T	393	405	45
>YGL044C RNA15 SGDID:S000003012, Chr VII from 417036-416146, Genome Release 64-2-1, reverse complement, Verified ORF, "Component of the cleavage and polyadenylation factor I (CF I); CF 1, composed of the CF 1A complex (Rna14p, Rna15p, Clp1p, Pcf11p) and Hrp1, is involved in cleavage and polyadenylation of mRNA 3' ends; interacts with the A-rich polyadenylation signal in complex with Rna14p and Hrp1p; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; required for gene looping and maintenance of genome stability"	N	94	139	99
>YGL045W RIM8 SGDID:S000003013, Chr VII from 414102-415730, Genome Release 64-2-1, Verified ORF, "Protein involved in proteolytic activation of Rim101p; part of response to alkaline pH; interacts with ESCRT-1 subunits Stp22p and Vps28p; essential for anaerobic growth; member of the arrestin-related trafficking adaptor family"	S	214	256	62
>YGL049C TIF4632 SGDID:S000003017, Chr VII from 409604-406860, Genome Release 64-2-1, reverse complement, Verified ORF, "Translation initiation factor eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p); associates with the poly(A)-binding protein Pab1p, also interacts with eIF4A (Tif1p); TIF4632 has a paralog, TIF4631, that arose from the whole genome duplication"	N	24	97	115
>YGL049C TIF4632 SGDID:S000003017, Chr VII from 409604-406860, Genome Release 64-2-1, reverse complement, Verified ORF, "Translation initiation factor eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p); associates with the poly(A)-binding protein Pab1p, also interacts with eIF4A (Tif1p); TIF4632 has a paralog, TIF4631, that arose from the whole genome duplication"	N	835	887	75
>YGL049C TIF4632 SGDID:S000003017, Chr VII from 409604-406860, Genome Release 64-2-1, reverse complement, Verified ORF, "Translation initiation factor eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p); associates with the poly(A)-binding protein Pab1p, also interacts with eIF4A (Tif1p); TIF4632 has a paralog, TIF4631, that arose from the whole genome duplication"	E	166	378	72
>YGL049C TIF4632 SGDID:S000003017, Chr VII from 409604-406860, Genome Release 64-2-1, reverse complement, Verified ORF, "Translation initiation factor eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p); associates with the poly(A)-binding protein Pab1p, also interacts with eIF4A (Tif1p); TIF4632 has a paralog, TIF4631, that arose from the whole genome duplication"	K	484	576	56
>YGL049C TIF4632 SGDID:S000003017, Chr VII from 409604-406860, Genome Release 64-2-1, reverse complement, Verified ORF, "Translation initiation factor eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p); associates with the poly(A)-binding protein Pab1p, also interacts with eIF4A (Tif1p); TIF4632 has a paralog, TIF4631, that arose from the whole genome duplication"	T	208	388	48
>YGL049C TIF4632 SGDID:S000003017, Chr VII from 409604-406860, Genome Release 64-2-1, reverse complement, Verified ORF, "Translation initiation factor eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p); associates with the poly(A)-binding protein Pab1p, also interacts with eIF4A (Tif1p); TIF4632 has a paralog, TIF4631, that arose from the whole genome duplication"	Q	825	896	40
>YGL053W PRM8 SGDID:S000003021, Chr VII from 402589-403302, Genome Release 64-2-1, Verified ORF, "Pheromone-regulated protein; contains with 2 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; forms a complex with Prp9p in the ER; member of DUP240 gene family; PRM8 has a paralog, PRM9, that arose from a segmental duplication"	I	51	95	41
>YGL056C SDS23 SGDID:S000003024, Chr VII from 397618-396035, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein involved in cell separation during budding; one of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein, which is implicated in APC/cyclosome regulation; SDS23 has a paralog, SDS24, that arose from the whole genome duplication"	S	387	480	81
>YGL056C SDS23 SGDID:S000003024, Chr VII from 397618-396035, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein involved in cell separation during budding; one of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein, which is implicated in APC/cyclosome regulation; SDS23 has a paralog, SDS24, that arose from the whole genome duplication"	S	15	86	72
>YGL056C SDS23 SGDID:S000003024, Chr VII from 397618-396035, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein involved in cell separation during budding; one of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein, which is implicated in APC/cyclosome regulation; SDS23 has a paralog, SDS24, that arose from the whole genome duplication"	P	452	479	49
>YGL058W RAD6 SGDID:S000003026, Chr VII from 393986-394504, Genome Release 64-2-1, Verified ORF, "Ubiquitin-conjugating enzyme (E2); involved in postreplication repair as a heterodimer with Rad18p, DSBR and checkpoint control as a heterodimer with Bre1p, ubiquitin-mediated N-end rule protein degradation as a heterodimer with Ubr1p, as well as endoplasmic reticulum-associated protein degradation (ERAD) with Ubr1p in the absence of canonical ER membrane ligases"	D	150	172	104
>YGL061C DUO1 SGDID:S000003029, Chr VII from 389711-388968, Genome Release 64-2-1, reverse complement, Verified ORF, "Essential subunit of the Dam1 complex (aka DASH complex); cooperates with Dam1p to connect the DASH complex with microtubules (MT); couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis"	S	25	70	41
>YGL066W SGF73 SGDID:S000003034, Chr VII from 377609-379582, Genome Release 64-2-1, Verified ORF, "SAGA complex subunit; has a role in anchoring the deubiquitination module into SAGA and SLIK complexes; involved in preinitiation complex assembly at promoters; relocalizes to the cytosol in response to hypoxia; human ortholog ataxin-7 is associated with spinocerebellar ataxia diseases; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay"	Q	442	578	173
>YGL066W SGF73 SGDID:S000003034, Chr VII from 377609-379582, Genome Release 64-2-1, Verified ORF, "SAGA complex subunit; has a role in anchoring the deubiquitination module into SAGA and SLIK complexes; involved in preinitiation complex assembly at promoters; relocalizes to the cytosol in response to hypoxia; human ortholog ataxin-7 is associated with spinocerebellar ataxia diseases; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay"	D	128	175	144
>YGL066W SGF73 SGDID:S000003034, Chr VII from 377609-379582, Genome Release 64-2-1, Verified ORF, "SAGA complex subunit; has a role in anchoring the deubiquitination module into SAGA and SLIK complexes; involved in preinitiation complex assembly at promoters; relocalizes to the cytosol in response to hypoxia; human ortholog ataxin-7 is associated with spinocerebellar ataxia diseases; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay"	N	571	657	72
>YGL066W SGF73 SGDID:S000003034, Chr VII from 377609-379582, Genome Release 64-2-1, Verified ORF, "SAGA complex subunit; has a role in anchoring the deubiquitination module into SAGA and SLIK complexes; involved in preinitiation complex assembly at promoters; relocalizes to the cytosol in response to hypoxia; human ortholog ataxin-7 is associated with spinocerebellar ataxia diseases; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay"	Q	275	323	72
>YGL066W SGF73 SGDID:S000003034, Chr VII from 377609-379582, Genome Release 64-2-1, Verified ORF, "SAGA complex subunit; has a role in anchoring the deubiquitination module into SAGA and SLIK complexes; involved in preinitiation complex assembly at promoters; relocalizes to the cytosol in response to hypoxia; human ortholog ataxin-7 is associated with spinocerebellar ataxia diseases; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay"	N	95	202	71
>YGL071W AFT1 SGDID:S000003039, Chr VII from 372012-374084, Genome Release 64-2-1, Verified ORF, "Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p, Grx4p, and Fra2p, and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog, AFT2, that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress"	S	308	582	80
>YGL071W AFT1 SGDID:S000003039, Chr VII from 372012-374084, Genome Release 64-2-1, Verified ORF, "Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p, Grx4p, and Fra2p, and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog, AFT2, that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress"	Q	604	663	61
>YGL071W AFT1 SGDID:S000003039, Chr VII from 372012-374084, Genome Release 64-2-1, Verified ORF, "Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p, Grx4p, and Fra2p, and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog, AFT2, that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress"	K	142	270	48
>YGL071W AFT1 SGDID:S000003039, Chr VII from 372012-374084, Genome Release 64-2-1, Verified ORF, "Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p, Grx4p, and Fra2p, and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog, AFT2, that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress"	H	595	649	42
>YGL071W AFT1 SGDID:S000003039, Chr VII from 372012-374084, Genome Release 64-2-1, Verified ORF, "Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions localization is regulated by Grx3p, Grx4p, and Fra2p, and promoter binding is negatively regulated via Grx3p-Grx4p binding; AFT1 has a paralog, AFT2, that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress"	S	12	84	40
>YGL073W HSF1 SGDID:S000003041, Chr VII from 368753-371254, Genome Release 64-2-1, Verified ORF, "Trimeric heat shock transcription factor; activates multiple genes in response to highly diverse stresses, including hyperthermia; recognizes variable heat shock elements (HSEs) consisting of inverted NGAAN repeats; monitors translational status of cell at the ribosome through an RQC (Ribosomal Quality Control)-mediated translation-stress signal; involved in diauxic shift; posttranslationally regulated"	N	274	799	268
>YGL073W HSF1 SGDID:S000003041, Chr VII from 368753-371254, Genome Release 64-2-1, Verified ORF, "Trimeric heat shock transcription factor; activates multiple genes in response to highly diverse stresses, including hyperthermia; recognizes variable heat shock elements (HSEs) consisting of inverted NGAAN repeats; monitors translational status of cell at the ribosome through an RQC (Ribosomal Quality Control)-mediated translation-stress signal; involved in diauxic shift; posttranslationally regulated"	S	2	125	41
>YGL075C MPS2 SGDID:S000003043, Chr VII from 368088-366925, Genome Release 64-2-1, reverse complement, Verified ORF, "Essential membrane protein localized at nuclear envelope and SPBs; required for insertion of the newly duplicated spindle pole body into the nuclear envelope; potentially phosphorylated by Cdc28p; MPS2 has a paralog, CSM4, that arose from the whole genome duplication"	Q	164	226	43
>YGL078C DBP3 SGDID:S000003046, Chr VII from 361859-360288, Genome Release 64-2-1, reverse complement, Verified ORF, "RNA-Dependent ATPase, member of DExD/H-box family; involved in cleavage of site A3 within the ITS1 spacer during rRNA processing; not essential for growth, but deletion causes severe slow-growth phenotype"	K	3	67	132
>YGL079W KXD1 SGDID:S000003047, Chr VII from 359444-360100, Genome Release 64-2-1, Verified ORF, "Subunit of the BLOC-1 complex involved in endosomal maturation; null mutant is sensitive to drug inducing secretion of vacuolar cargo; GFP-fusion protein localizes to the endosome"	S	6	143	73
>YGL081W YGL081W SGDID:S000003049, Chr VII from 357377-358339, Genome Release 64-2-1, Uncharacterized ORF, "Putative protein of unknown function; non-essential gene; interacts genetically with CHS5, a gene involved in chitin biosynthesis"	E	225	269	78
>YGL082W YGL082W SGDID:S000003050, Chr VII from 355827-356972, Genome Release 64-2-1, Uncharacterized ORF, "Putative protein of unknown function; predicted prenylation/proteolysis target of Afc1p and Rce1p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; not an essential gene; YGL082W has a paralog, YPL191C, that arose from the whole genome duplication"	N	237	377	49
>YGL082W YGL082W SGDID:S000003050, Chr VII from 355827-356972, Genome Release 64-2-1, Uncharacterized ORF, "Putative protein of unknown function; predicted prenylation/proteolysis target of Afc1p and Rce1p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; not an essential gene; YGL082W has a paralog, YPL191C, that arose from the whole genome duplication"	K	340	376	41
>YGL083W SCY1 SGDID:S000003051, Chr VII from 353058-355472, Genome Release 64-2-1, Verified ORF, "Putative kinase; suppressor of GTPase mutant; similar to bovine rhodopsin kinase; may have a role in intracellular sterol transport"	S	663	802	73
>YGL083W SCY1 SGDID:S000003051, Chr VII from 353058-355472, Genome Release 64-2-1, Verified ORF, "Putative kinase; suppressor of GTPase mutant; similar to bovine rhodopsin kinase; may have a role in intracellular sterol transport"	S	5	46	48
>YGL086W MAD1 SGDID:S000003054, Chr VII from 347119-349368, Genome Release 64-2-1, Verified ORF, "Coiled-coil protein involved in spindle-assembly checkpoint; required for inhibition of karyopherin/importin Pse1p (aka Kap121p) upon spindle assembly checkpoint arrest; phosphorylated by Mps1p upon checkpoint activation which leads to inhibition of anaphase promoting complex activity; forms a complex with Mad2p; gene dosage imbalance between MAD1 and MAD2 leads to chromosome instability"	N	322	518	211
>YGL086W MAD1 SGDID:S000003054, Chr VII from 347119-349368, Genome Release 64-2-1, Verified ORF, "Coiled-coil protein involved in spindle-assembly checkpoint; required for inhibition of karyopherin/importin Pse1p (aka Kap121p) upon spindle assembly checkpoint arrest; phosphorylated by Mps1p upon checkpoint activation which leads to inhibition of anaphase promoting complex activity; forms a complex with Mad2p; gene dosage imbalance between MAD1 and MAD2 leads to chromosome instability"	Q	59	308	78
